sar,type,mean,sigma
5.7329606498867625,peripheral,19,14
5.733468276039813,uniform,26,8
5.73470626266547,peripheral,19,7
5.735217392874003,peripheral,17,11
5.7372691753866,peripheral,3,16
5.73748168686036,peripheral,11,18
5.741286363355366,peripheral,31,1
5.741513155561254,uniform,21,8
5.7422190375034035,uniform,13,32
5.743220544256476,uniform,43,23
5.743540858450731,uniform,31,5
5.74826530917256,uniform,26,2
5.748552405581762,uniform,2,17
5.751915714265853,uniform,19,32
5.754547029732737,bimodal,12,17
5.7562041303792,uniform,38,8
5.756317044081787,uniform,32,6
5.757845543696602,peripheral,16,11
5.759678646250161,bimodal,4,20
5.759762723428508,bimodal,23,1
5.7598895309755465,bimodal,22,17
5.760082647915104,bimodal,17,24
5.761197908289507,uniform,31,14
5.762117658288303,uniform,35,13
5.765131895293445,peripheral,13,20
5.766629449003747,uniform,37,13
5.769765074824925,uniform,22,7
5.7699570891617595,bimodal,33,22
5.770713956731923,uniform,41,3
5.771351656207794,uniform,48,5
5.774409747710608,uniform,39,7
5.775289674658506,peripheral,28,18
5.775318931975547,uniform,31,18
5.776773014190149,peripheral,15,7
5.778610490532304,uniform,41,1
5.779816737088183,peripheral,30,11
5.779843305999725,central,0,21
5.7808944062711625,uniform,12,16
5.781601261431252,peripheral,27,10
5.782742143202405,uniform,13,22
5.783424934627473,peripheral,11,28
5.785218198246016,bimodal,24,14
5.785429346708167,uniform,18,22
5.785877962169318,peripheral,19,6
5.786328542626789,peripheral,13,25
5.786772528096681,uniform,4,17
5.786805363293915,bimodal,18,12
5.788602164133433,peripheral,8,19
5.78930401096477,peripheral,23,15
5.789626593246006,uniform,12,22
5.7901382911658095,peripheral,13,21
5.791049363453592,uniform,7,16
5.79150813831933,uniform,38,15
5.792178011192332,uniform,30,13
5.793892788782314,bimodal,16,25
5.796804882366947,peripheral,19,9
5.797489784914672,uniform,9,26
5.799023151499948,peripheral,7,23
5.802557640146156,peripheral,25,14
5.802626971139507,bimodal,34,11
5.803034847439938,uniform,43,17
5.80544525986139,uniform,20,10
5.807169289643387,peripheral,3,27
5.807182798045316,uniform,43,3
5.808438813197448,peripheral,17,20
5.80891523375632,uniform,34,5
5.810408648384197,uniform,39,28
5.8123845751928895,peripheral,21,15
5.81312722908118,uniform,20,29
5.816012020802619,peripheral,12,13
5.817062528039885,bimodal,14,18
5.817113161882944,uniform,26,6
5.817670803335353,uniform,32,42
5.819676828319079,uniform,32,19
5.8201392099076825,peripheral,30,2
5.820819262181718,peripheral,12,24
5.8217827106560645,peripheral,26,22
5.822684262033453,uniform,38,13
5.822792908578543,bimodal,3,26
5.82395648898511,uniform,48,18
5.827836901438301,bimodal,6,16
5.828672194549244,peripheral,2,26
5.829648249067596,peripheral,19,10
5.831414571321336,bimodal,5,22
5.83212416629581,uniform,42,18
5.83239592707289,uniform,34,12
5.833635862428145,uniform,39,4
5.835650390439508,bimodal,23,23
5.8381421527179365,peripheral,6,22
5.838468856333403,peripheral,6,13
5.841168224352331,uniform,27,4
5.84117965583468,uniform,30,7
5.841980247035307,uniform,38,10
5.842835873948189,central,0,20
5.8430940790686945,uniform,25,12
5.843989016258776,uniform,4,28
5.844276600668286,bimodal,22,1
5.845085391270678,peripheral,27,27
5.8490607327270565,peripheral,14,11
5.849130414796338,bimodal,18,7
5.849711690922714,peripheral,30,4
5.851155342441731,uniform,13,31
5.85411185244045,bimodal,11,21
5.8552059764371975,bimodal,22,13
5.855511262891989,peripheral,25,45
5.856088992848246,bimodal,31,21
5.8564871580956375,uniform,1,23
5.856901648360723,peripheral,24,17
5.85756961524564,uniform,17,20
5.858581991668751,uniform,13,37
5.859747876235603,peripheral,14,9
5.859815156421665,peripheral,26,6
5.861010187358325,uniform,8,31
5.862977870661798,peripheral,26,14
5.863900575684633,peripheral,16,6
5.864845742644964,uniform,26,16
5.865934115865188,peripheral,12,16
5.866654056316207,peripheral,18,15
5.8668728689478264,bimodal,13,28
5.868456289421799,uniform,35,3
5.869554111259006,uniform,21,9
5.8699024900849945,bimodal,1,24
5.871130308539287,uniform,27,3
5.871951694484775,uniform,21,18
